a,bL,bA,gammaI,gammaA,sigma,S0,xi_c
135,144,154,107,100,33,142,59
40,49,158,35,56,192,72,88
149,117,66,171,91,120,21,73
115,15,184,153,39,69,109,9
23,37,177,86,108,106,68,123
13,103,22,21,171,191,119,200
137,171,59,15,129,119,44,152
59,74,121,68,98,171,82,134
78,121,173,69,144,99,57,147
125,42,149,131,181,177,157,156
94,23,108,43,120,130,175,124
37,124,99,144,169,145,193,190
160,5,134,198,58,124,51,15
91,94,105,149,195,19,35,166
31,64,157,170,198,108,43,182
126,176,85,84,173,144,159,175
38,164,133,186,9,91,47,34
49,69,162,102,186,178,76,184
26,79,198,98,75,77,134,79
114,114,88,60,38,97,9,44
100,52,122,152,42,63,114,23
